Plant,Product  Order,Product Code,production date,         Plan Qty,product name,Base qty,Required qty,Actual qty,difference,Gain,Loss/Gain %,Std Loss %,Std Loss Qty,            Loss (Gain),Std Cost,Base Req. Value,Std Loss Value,Standard Value,Actual Value,Std Cost Variance,         Variance_2
plant 2,11891517,535625,26.08.2022,12569,valtino malt,995.466,1015.375,740,-255.466,Gain,25.66,2,19.909,-275.38,$1302828.68,12969216.55,259384.33,13228596.71,9640932.23,-3587664.48,-3328284.32
plant 2,11891499,535611,20.08.2022,12276,crystal milk,994.357,1014.244,1288,293.643,Loss,29.53,2,19.887,273.76,$3021213.01,30041643.05,600832.86,30642471.68,38913223.57,8270751.89,8871580.52
plant 2,11877304,535626,26.07.2022,12540,valtino malt,993.169,1013.032,1280,286.831,Loss,28.88,2,19.863,266.97,$1302828.68,12939290.57,258785.81,13198071.43,16676207.1,3478135.67,3736916.53
plant 2,11905221,535609,11.09.2022,12672,crystal milk,988.417,1008.185,743,-245.417,Gain,24.83,2,19.768,-265.19,$3021213.01,29862183,597243.66,30459416.38,22447612.66,-8011803.72,-7414570.34
plant 2,11905495,535612,26.08.2022,12441,crystal milk,985.327,1005.034,746,-239.327,Gain,24.29,2,19.707,-259.03,$3021213.01,29768827.52,595376.55,30364217.96,22538249.05,-7825968.91,-7230578.47
plant 2,11852679,755760,28.05.2022,12144,crystal milk,983.665,1003.338,705,-278.665,Gain,28.33,2,19.673,-298.34,$2401765.2,23625323.65,472506.47,24097822.92,16932444.66,-7165378.26,-6692878.99
plant 2,11931355,535609,22.10.2022,12528,crystal milk,977.184,996.728,1321,343.816,Loss,35.18,2,19.544,324.27,$3021213.01,29522810.14,590456.2,30113276.01,39910223.86,9796947.85,10387413.72
plant 2,11905201,535625,09.09.2022,12240,valtino malt,969.409,988.797,1180,210.591,Loss,21.72,2,19.388,191.2,$1302828.68,12629738.48,252594.77,12882330.9,15373378.42,2491047.52,2743639.94
plant 2,11891464,535611,14.08.2022,11946,crystal milk,967.626,986.979,795,-172.626,Gain,17.84,2,19.353,-191.98,$3021213.01,29234042.6,584680.85,29818737.95,24018643.43,-5800094.52,-5215399.17
plant 2,11838170,535626,03.05.2022,12038,valtino malt,953.41,972.478,1011,57.59,Loss,6.04,2,19.068,38.52,$1302828.68,12421298.92,248425.98,12669722.29,13171597.95,501875.66,750299.03
plant 2,11857197,535611,05.06.2022,11748,crystal milk,951.588,970.62,768,-183.588,Gain,19.29,2,19.032,-202.62,$3021213.01,28749500.46,574990.01,29324497.72,23202915.92,-6121581.8,-5546584.54
plant 2,11930015,535611,12.10.2022,1176,crystal milk,95.257,97.162,100,4.743,Loss,4.98,2,1.905,2.84,$3021213.01,2877916.88,57558.34,2935470.98,3021213.01,85742.03,143296.13
plant 2,11865739,535609,19.06.2022,12132,crystal milk,946.296,965.222,674,-272.296,Gain,28.77,2,18.926,-291.22,$3021213.01,28589617.87,571792.36,29161412.64,20362975.69,-8798436.95,-8226642.18
plant 2,11937734,699120,26.10.2022,11868,null,939.946,958.745,1150,210.054,Loss,22.35,2,18.799,191.26,$950439.45,8933617.59,178672.35,9112290.7,10930053.68,1817762.98,1996436.09
plant 2,11891502,535625,11.08.2022,11808,valtino malt,935.194,953.898,1105,169.806,Loss,18.16,2,18.704,151.1,$1302828.68,12183975.65,243679.51,12427656.72,14396256.91,1968600.19,2212281.26
plant 2,11927395,535625,08.10.2022,11808,valtino malt,935.194,953.898,953,17.806,Loss,1.9,2,18.704,-0.9,$1302828.68,12183975.65,243679.51,12427656.72,12415957.32,-11699.4,231981.67
plant 2,11857306,699076,19.06.2022,12973,juice,934.057,952.738,743,-191.057,Gain,20.45,2,18.681,-209.74,$1295929.78,12104722.83,242094.46,12346815.47,9628758.27,-2718057.2,-2475964.56
plant 2,11924919,535626,03.10.2022,11707,valtino malt,927.195,945.739,898,-29.195,Gain,3.15,2,18.544,-47.74,$1302828.68,12079762.38,241595.25,12321358.93,11699401.55,-621957.38,-380360.83
plant 2,11903841,698403,24.08.2022,11666,juice,923.948,942.427,947,23.052,Loss,2.49,2,18.479,4.57,$1295929.78,11973717.28,239474.35,12213192.15,12272455.02,59262.87,298737.74
plant 2,11818787,535625,17.04.2022,11664,valtino malt,923.789,942.265,970,46.211,Loss,5,2,18.476,27.74,$1302828.68,12035388.03,240707.76,12276098.66,12637438.2,361339.54,602050.17
plant 2,11912765,535611,25.09.2022,1144,crystal milk,92.665,94.518,18,-74.665,Gain,80.58,2,1.853,-76.52,$3021213.01,2799607.04,55992.14,2855590.11,543818.34,-2311771.77,-2255788.7
plant 2,11857268,535626,14.06.2022,11616,valtino malt,919.987,938.387,1166,246.013,Loss,26.74,2,18.4,227.61,$1302828.68,11985854.49,239717.09,12225574.97,15190982.41,2965407.44,3205127.92
plant 2,11857292,535611,12.06.2022,11277,crystal milk,913.437,931.706,694,-219.437,Gain,24.02,2,18.269,-237.71,$3021213.01,27596877.48,551937.55,28148822.89,20967218.29,-7181604.6,-6629659.19
plant 2,11818805,535625,25.04.2022,11520,valtino malt,912.384,930.632,1240,327.616,Loss,35.91,2,18.248,309.37,$1302828.68,11886800.42,237736.01,12124540.6,16155075.63,4030535.03,4268275.21
plant 2,11912768,535625,18.09.2022,11520,valtino malt,912.384,930.632,900,-12.384,Gain,1.36,2,18.248,-30.63,$1302828.68,11886800.42,237736.01,12124540.6,11725458.12,-399082.48,-161342.3
plant 2,11818611,535611,10.04.2022,1122,crystal milk,90.882,92.7,0,-90.882,null,0,2,1.818,-92.7,$3021213.01,2745738.81,54914.78,2800664.46,0,-2800664.46,-2745738.81
plant 2,11877311,535625,25.07.2022,120,valtino malt,9.505,9.695,0,-9.505,null,0,2,0.19,-9.7,$1302828.68,123833.87,2476.68,126309.24,0,-126309.24,-123833.87
plant 2,11891459,535626,27.08.2022,116,valtino malt,9.187,9.371,0,-9.187,null,0,2,0.184,-9.37,$1302828.68,119690.87,2393.82,122088.08,0,-122088.08,-119690.87
plant 2,11839595,535626,04.05.2022,11352,valtino malt,899.078,917.06,1240,340.922,Loss,37.92,2,17.982,322.94,$1302828.68,11713446.04,234268.92,11947720.69,16155075.63,4207354.94,4441629.59
plant 2,11837562,535611,05.05.2022,11088,crystal milk,898.128,916.091,1172,273.872,Loss,30.49,2,17.963,255.91,$3021213.01,27134359.98,542687.2,27677060.48,35408616.48,7731556,8274256.5
plant 2,11899672,535611,17.08.2022,11088,crystal milk,898.128,916.091,1260,361.872,Loss,40.29,2,17.963,343.91,$3021213.01,27134359.98,542687.2,27677060.48,38067283.93,10390223.45,10932923.95
plant 2,11905213,535611,11.09.2022,11022,crystal milk,892.782,910.638,868,-24.782,Gain,2.78,2,17.856,-42.64,$3021213.01,26972845.93,539456.92,27512313.73,26224128.93,-1288184.8,-748717
plant 2,11862779,535611,14.06.2022,10956,crystal milk,887.436,905.185,1152,264.564,Loss,29.81,2,17.749,246.82,$3021213.01,26811331.89,536226.64,27347566.98,34804373.88,7456806.9,7993041.99
plant 2,11905153,535626,12.09.2022,11148,valtino malt,882.923,900.581,1201,318.077,Loss,36.03,2,17.658,300.42,$1302828.68,11502974.07,230059.48,11733027.55,15646972.45,3913944.9,4143998.38
plant 2,11818839,535611,01.05.2022,10890,crystal milk,882.09,899.732,1011,128.91,Loss,14.61,2,17.642,111.27,$3021213.01,26649817.84,532996.36,27182820.24,30544463.53,3361643.29,3894645.69
plant 2,11860726,535609,09.06.2022,11285,crystal milk,880.23,897.835,616,-264.23,Gain,30.02,2,17.605,-281.84,$3021213.01,26593623.28,531872.47,27125507.83,18610672.14,-8514835.69,-7982951.14
plant 2,11823261,699076,05.04.2022,1228,juice,88.417,90.185,0,-88.417,null,0,2,1.768,-90.19,$1295929.78,1145822.23,22916.44,1168734.27,0,-1168734.27,-1145822.23
plant 2,11827599,535609,13.04.2022,11232,crystal milk,876.096,893.618,1201,324.904,Loss,37.09,2,17.522,307.38,$3021213.01,26468726.33,529374.53,26998103.28,36284768.25,9286664.97,9816041.92
plant 2,11857276,535625,04.06.2022,11037,valtino malt,874.131,891.614,220,-654.131,Gain,74.83,2,17.483,-671.61,$1302828.68,11388429.37,227768.59,11616202.91,2866223.1,-8749979.81,-8522206.27
plant 2,11916605,535611,07.10.2022,1078,crystal milk,87.319,89.065,10,-77.319,Gain,88.55,2,1.746,-79.07,$3021213.01,2638092.99,52761.86,2690843.37,302121.3,-2388722.07,-2335971.69
plant 2,11920848,535626,25.09.2022,1101,valtino malt,87.2,88.944,0,-87.2,null,0,2,1.744,-88.94,$1302828.68,1136066.61,22721.33,1158787.94,0,-1158787.94,-1136066.61
plant 2,11877290,535609,21.07.2022,11134,crystal milk,868.453,885.822,669,-199.453,Gain,22.97,2,17.369,-216.82,$3021213.01,26237815.02,524756.3,26762569.51,20211915.04,-6550654.47,-6025899.98
plant 2,11911433,535626,07.09.2022,10953,valtino malt,867.478,884.828,602,-265.478,Gain,30.6,2,17.35,-282.83,$1302828.68,11301752.18,226035.04,11527792.95,7843028.65,-3684764.3,-3458723.53
plant 2,11818746,535625,11.04.2022,10944,valtino malt,866.766,884.101,1131,264.234,Loss,30.49,2,17.335,246.9,$1302828.68,11292476.04,225849.52,11518321.39,14734992.37,3216670.98,3442516.33
plant 2,11891515,535611,23.08.2022,10626,crystal milk,860.707,877.921,1270,409.293,Loss,47.55,2,17.214,392.08,$3021213.01,26003791.86,520075.84,26523863.47,38369405.23,11845541.76,12365613.37
plant 2,11913125,535609,10.09.2022,11016,crystal milk,859.248,876.433,1130,270.752,Loss,31.51,2,17.185,253.57,$3021213.01,25959712.36,519194.25,26478907.82,34139707.01,7660799.19,8179994.65
plant 2,11923806,535611,09.10.2022,10560,crystal milk,855.361,872.468,872,16.639,Loss,1.95,2,17.107,-0.47,$3021213.01,25842277.81,516845.56,26359116.72,26344977.45,-14139.27,502699.64
